#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Microsoft Azure Mobile Services Tools for Visual Studio - v1.4","1.4.30408.1601"
"NI Service Locator 2017 SP1","17.50.49152"
"NI-RIO I/O Control for LabVIEW 2014","14.50.49155"
"NI Authentication 2017","17.00.49153"
"NI MSI Properties","17.50.49153"
"NI Measurement Studio Common Runtime for .NET Framework 4.0","17.00.49152"
"Windows Mobile Extension SDK Contracts","10.1.17763.132"
"NI-VISA USB Passport 17.5.0","17.50.49152"
"Windows SDK Redistributables","10.1.17763.132"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001"
"WinAppDeploy","10.1.17763.132"
"Windows Azure Tools for LightSwitch for Visual Studio 2013 - v2.1","2.1.10909.1601"
"Microsoft Report Viewer Add-On for Visual Studio 2013","11.1.3442.2"
"NI-VISA Runtime 17.5.0","17.50.49152"
"NI Remote PXI Provider for MAX 17.5.0","17.50.49152"
"NI VISA.NET Shared Components Wrapper Core","5.81.49152"
"NI MXI Manager 17.5","17.50.49152"
"NI LabVIEW Runtime 2016 f5","16.05.49153"
"Windows App Certification Kit x64","10.1.17763.132"
"WinRT Intellisense PPI - Other Languages","10.1.17763.132"
"Microsoft Visual Studio 2013 Profiling Tools","12.0.30723"
"Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.60610","11.0.60610"
"Windows SDK for Windows Store Apps Headers","10.1.17763.132"
"NI LabVIEW 2015 SP1 Deployable License","15.1.46"
"WPTx64","10.1.17763.132"
"NI-RIO 17.0","17.00.49153"
"NI LabVIEW Runtime 2017 Non-English Support.","17.00.49153"
"Visual Studio Extensions for Windows Library for JavaScript","2.1.30723.00"
"NI System State Publisher","17.00.49152"
"NI SSL LabVIEW RTE 2017 Support","17.0.57"
"NI System API Client for WIF 17.5.0","17.50.49152"
"NI-VISA Driver Development Wizard 17.5.0","17.50.49152"
"Microsoft Visual Studio 2013 Preparation","12.0.40629"
"VS Update core components","12.0.40629"
"Universal CRT Extension SDK","10.1.17763.132"
